magic,size,crc16,status_flags,time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
"COREYMAY3",98,31264,0,9486865,901.789978,52.730000,0.087424,0.071795,1.005983,0.000000,0.121951,-0.243902,0.441000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,27674,0,9486875,901.760010,52.730000,0.100733,0.064957,0.985836,0.060976,0.121951,-0.060976,0.441000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,16955,0,9486885,901.760010,52.730000,0.087546,0.060928,1.002076,0.000000,0.060976,-0.548781,0.490000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,8547,0,9486895,901.760010,52.730000,0.084615,0.054212,1.004884,-0.121951,0.060976,-0.426829,0.588000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,24477,0,9486905,901.760010,52.730000,0.084737,0.051648,0.982418,-0.121951,-0.060976,0.060976,0.539000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,42639,0,9486915,901.750000,52.730000,0.090965,0.066300,1.008303,0.000000,0.000000,-0.060976,0.490000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,59349,0,9486925,901.750000,52.730000,0.092063,0.047497,0.988889,0.060976,0.060976,0.304878,0.539000,0.392000,0.686000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,9964,0,9486935,901.750000,52.730000,0.090110,0.075336,0.994628,0.000000,0.000000,0.121951,0.490000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,22208,0,9486945,901.750000,52.730000,0.092552,0.060317,1.008791,-0.060976,0.000000,-0.304878,0.539000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,9850,0,9486955,901.750000,52.730000,0.072283,0.055678,0.981807,-0.121951,-0.060976,0.121951,0.490000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,30412,0,9486965,901.750000,52.730000,0.127717,0.050305,1.002198,-0.121951,-0.060976,0.304878,0.637000,0.343000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,36243,0,9486975,901.750000,52.730000,0.074603,0.069231,0.996093,0.000000,0.000000,0.182927,0.441000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,52738,0,9486985,901.750000,52.730000,0.086325,0.060440,0.984249,0.000000,0.000000,0.182927,0.490000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,14380,0,9486995,901.739990,52.730000,0.120269,0.075702,1.012820,-0.121951,-0.060976,-0.304878,0.637000,0.294000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,49923,0,9487005,901.739990,52.730000,0.066911,0.051404,0.985470,-0.182927,-0.060976,-0.426829,0.490000,0.294000,0.441000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
